Date,Clics,Impressions,CTR,Position
2025-10-07,34,2124,1.6%,19.13
2025-10-06,35,2362,1.48%,19.99
2025-10-05,25,2272,1.1%,19.33
2025-10-04,25,2069,1.21%,19.6
2025-10-03,34,2111,1.61%,19.74
2025-10-02,40,2220,1.8%,19.76
2025-10-01,27,2322,1.16%,21.11
2025-09-30,31,2554,1.21%,19.16
2025-09-29,41,2652,1.55%,17.71
2025-09-28,27,2454,1.1%,17.08
2025-09-27,20,1989,1.01%,19.72
2025-09-26,17,2172,0.78%,18.66
2025-09-25,16,2161,0.74%,19.38
2025-09-24,35,2427,1.44%,21.62
2025-09-23,33,2344,1.41%,17.9
2025-09-22,36,2237,1.61%,19.77
2025-09-21,42,2565,1.64%,22.84
2025-09-20,23,1920,1.2%,17.82
2025-09-19,21,2093,1%,18.45
2025-09-18,25,2231,1.12%,20.34
2025-09-17,32,2279,1.4%,17.5
2025-09-16,41,2500,1.64%,17.02
2025-09-15,23,2597,0.89%,16.59
2025-09-14,30,2646,1.13%,15.07
2025-09-13,37,2013,1.84%,15.27
2025-09-12,24,2456,0.98%,20.24
2025-09-11,30,3103,0.97%,21.69
2025-09-10,23,2868,0.8%,23.39
2025-09-09,25,3212,0.78%,26.61
2025-09-08,41,3113,1.32%,26.34
2025-09-07,28,3282,0.85%,25.91
2025-09-06,15,2971,0.5%,28.96
2025-09-05,28,2827,0.99%,29.56
2025-09-04,26,3237,0.8%,29.29
2025-09-03,28,3160,0.89%,28.59
2025-09-02,28,3017,0.93%,27.78
2025-09-01,39,3402,1.15%,27.98
2025-08-31,25,4041,0.62%,29.54
2025-08-30,26,3325,0.78%,27.94
2025-08-29,30,3434,0.87%,28.74
2025-08-28,37,3605,1.03%,26.83
2025-08-27,37,3623,1.02%,24.76
2025-08-26,37,3109,1.19%,26.52
2025-08-25,29,3009,0.96%,26.11
2025-08-24,25,3322,0.75%,27.1
2025-08-23,23,2899,0.79%,28.15
2025-08-22,27,2911,0.93%,28.44
2025-08-21,36,3255,1.11%,28.1
2025-08-20,28,2858,0.98%,26.23
2025-08-19,34,3063,1.11%,27.29
2025-08-18,29,3279,0.88%,27.6
2025-08-17,35,3376,1.04%,25.96
2025-08-16,33,3444,0.96%,26.89
2025-08-15,17,2779,0.61%,26.98
2025-08-14,31,3016,1.03%,27.76
2025-08-13,27,3036,0.89%,27.39
2025-08-12,38,3305,1.15%,27.73
2025-08-11,21,4390,0.48%,32.74
2025-08-10,33,3250,1.02%,27.38
2025-08-09,22,2991,0.74%,28.25
2025-08-08,29,3324,0.87%,27.51
2025-08-07,27,2994,0.9%,28.21
2025-08-06,27,2920,0.92%,27.75
2025-08-05,30,2988,1%,27.11
2025-08-04,42,2837,1.48%,27.32
2025-08-03,26,3142,0.83%,26.97
2025-08-02,31,2766,1.12%,28.2
2025-08-01,28,3166,0.88%,30.08
2025-07-31,32,3516,0.91%,30.57
2025-07-30,26,3000,0.87%,27.53
2025-07-29,32,2989,1.07%,25.54
2025-07-28,37,3311,1.12%,26.39
2025-07-27,38,3380,1.12%,26.96
2025-07-26,23,2994,0.77%,27.12
2025-07-25,29,3263,0.89%,27.43
2025-07-24,31,3232,0.96%,26.09
2025-07-23,36,3522,1.02%,24.96
2025-07-22,32,3566,0.9%,26.22
2025-07-21,48,3702,1.3%,26.05
2025-07-20,34,5113,0.66%,29.84
2025-07-19,24,4377,0.55%,31.83
2025-07-18,25,3395,0.74%,29.42
2025-07-17,39,3141,1.24%,27.85
2025-07-16,35,3076,1.14%,26.96
2025-07-15,40,3394,1.18%,27.23
2025-07-14,22,3321,0.66%,26.39
2025-07-13,38,3280,1.16%,27.72
2025-07-12,23,3561,0.65%,30.77
2025-07-11,21,3947,0.53%,32.4
2025-07-10,39,3093,1.26%,28.08
2025-07-09,33,3122,1.06%,27.71
2025-07-08,27,3429,0.79%,27.84
2025-07-07,40,2987,1.34%,26.73
2025-07-06,44,3304,1.33%,26.88
2025-07-05,20,3229,0.62%,28.88
2025-07-04,30,3369,0.89%,29.79
2025-07-03,38,2796,1.36%,27.99
2025-07-02,37,3263,1.13%,30.96
2025-07-01,38,3128,1.21%,27.3
2025-06-30,35,3550,0.99%,27.2
2025-06-29,36,3230,1.11%,26
2025-06-28,29,3088,0.94%,27.97
2025-06-27,31,3073,1.01%,29.58
2025-06-26,32,2941,1.09%,28.26
2025-06-25,33,3003,1.1%,26.66
2025-06-24,48,3138,1.53%,26.68
2025-06-23,38,3161,1.2%,26.23
2025-06-22,37,3263,1.13%,27.01
2025-06-21,25,2935,0.85%,28.49
2025-06-20,36,3022,1.19%,28.47
2025-06-19,29,3063,0.95%,29.32
2025-06-18,29,2928,0.99%,27.45
2025-06-17,35,3002,1.17%,26.3
2025-06-16,37,3248,1.14%,27.27
2025-06-15,31,3412,0.91%,27.29
2025-06-14,29,3108,0.93%,29.47
2025-06-13,43,2926,1.47%,29.98
2025-06-12,40,2806,1.43%,28.24
2025-06-11,42,2898,1.45%,26.35
2025-06-10,35,3321,1.05%,26.19
2025-06-09,37,4184,0.88%,29.08
2025-06-08,39,3959,0.99%,30.37
2025-06-07,27,2693,1%,28.25
2025-06-06,29,2676,1.08%,28.24
2025-06-05,25,3004,0.83%,28.03
2025-06-04,32,2647,1.21%,28.11
2025-06-03,31,2671,1.16%,25.97
2025-06-02,38,2597,1.46%,26.76
2025-06-01,35,3118,1.12%,29.84
2025-05-31,21,2728,0.77%,28.97
2025-05-30,27,2528,1.07%,28.73
2025-05-29,31,2321,1.34%,28.72
2025-05-28,36,2294,1.57%,29.51
2025-05-27,19,2633,0.72%,32.48
2025-05-26,35,2689,1.3%,29.03
2025-05-25,26,2482,1.05%,28.42
2025-05-24,30,2517,1.19%,29.09
2025-05-23,34,2436,1.4%,30.65
2025-05-22,47,2544,1.85%,29.03
2025-05-21,29,2503,1.16%,27.89
2025-05-20,30,3749,0.8%,31.75
2025-05-19,37,2584,1.43%,25.52
2025-05-18,42,2845,1.48%,25.76
2025-05-17,22,2307,0.95%,29.27
2025-05-16,33,2284,1.44%,29.84
2025-05-15,27,2743,0.98%,26.69
2025-05-14,32,2632,1.22%,27.75
2025-05-13,38,2684,1.42%,27.49
2025-05-12,43,2918,1.47%,25.63
2025-05-11,49,3071,1.6%,24.48
2025-05-10,31,2720,1.14%,26.99
2025-05-09,39,2648,1.47%,26.93
2025-05-08,37,2829,1.31%,26.42
2025-05-07,37,2769,1.34%,27.08
2025-05-06,44,2589,1.7%,27.92
2025-05-05,60,3210,1.87%,26.43
2025-05-04,51,3150,1.62%,24.68
2025-05-03,33,2819,1.17%,25.47
2025-05-02,34,2689,1.26%,28.22
2025-05-01,37,3134,1.18%,29.09
2025-04-30,36,2768,1.3%,29.19
2025-04-29,51,2927,1.74%,28.55
2025-04-28,53,3191,1.66%,29.21
2025-04-27,47,3207,1.47%,27.61
2025-04-26,32,2733,1.17%,29.93
2025-04-25,50,2679,1.87%,28.87
2025-04-24,37,3026,1.22%,28.56
2025-04-23,48,3167,1.52%,26.72
2025-04-22,42,2954,1.42%,25.73
2025-04-21,53,3331,1.59%,23.67
2025-04-20,45,3353,1.34%,27.12
2025-04-19,30,3006,1%,27.79
2025-04-18,36,2732,1.32%,27.26
2025-04-17,24,2931,0.82%,28.17
2025-04-16,51,2534,2.01%,22.08
2025-04-15,39,2849,1.37%,23.98
2025-04-14,68,3444,1.97%,22.58
2025-04-13,71,5214,1.36%,23.53
2025-04-12,52,3747,1.39%,26.9
2025-04-11,47,2952,1.59%,23.25
2025-04-10,52,3262,1.59%,23.5
2025-04-09,56,3252,1.72%,24.02
2025-04-08,46,3591,1.28%,23.63
2025-04-07,79,3876,2.04%,22.74
2025-04-06,59,4213,1.4%,21.03
2025-04-05,38,3303,1.15%,25.12
2025-04-04,46,3495,1.32%,25.64
2025-04-03,51,3250,1.57%,24.48
2025-04-02,42,3182,1.32%,24.27
2025-04-01,56,3569,1.57%,27.18
2025-03-31,68,4183,1.63%,27.55
2025-03-30,61,3486,1.75%,24.05
2025-03-29,42,3124,1.34%,25.42
2025-03-28,47,3208,1.47%,26.19
2025-03-27,50,3111,1.61%,25.73
2025-03-26,47,3130,1.5%,23.92
2025-03-25,57,3164,1.8%,24.2
2025-03-24,58,3312,1.75%,23.88
2025-03-23,50,3232,1.55%,23.12
2025-03-22,39,2956,1.32%,25.11
2025-03-21,43,2940,1.46%,25.79
2025-03-20,54,3723,1.45%,28.19
2025-03-19,51,3277,1.56%,24.83
2025-03-18,48,3240,1.48%,24.87
2025-03-17,49,3368,1.45%,26.43
2025-03-16,54,3174,1.7%,24.23
2025-03-15,67,3088,2.17%,25.77
2025-03-14,45,3189,1.41%,27.06
2025-03-13,46,3469,1.33%,25.88
2025-03-12,44,3173,1.39%,25.94
2025-03-11,51,3219,1.58%,25.98
2025-03-10,54,4296,1.26%,30.6
2025-03-09,46,3996,1.15%,25.85
2025-03-08,42,3346,1.26%,25.58
2025-03-07,50,3194,1.57%,26.86
2025-03-06,43,2972,1.45%,25.44
2025-03-05,45,3262,1.38%,26.06
2025-03-04,46,3000,1.53%,25.99
2025-03-03,62,3292,1.88%,26.94
2025-03-02,31,3332,0.93%,28.12
2025-03-01,45,3326,1.35%,29.04
2025-02-28,35,3773,0.93%,30.61
2025-02-27,33,3470,0.95%,28.14
2025-02-26,63,3444,1.83%,27.84
2025-02-25,55,3269,1.68%,28.86
2025-02-24,71,3467,2.05%,28.44
2025-02-23,50,3213,1.56%,26.91
2025-02-22,35,2968,1.18%,27.74
2025-02-21,48,2924,1.64%,28.93
2025-02-20,39,2848,1.37%,27.86
2025-02-19,55,2718,2.02%,27.7
2025-02-18,41,2877,1.43%,27.16
2025-02-17,67,2940,2.28%,26.32
2025-02-16,45,3041,1.48%,24.13
2025-02-15,30,2658,1.13%,28.46
2025-02-14,35,2732,1.28%,29.87
2025-02-13,55,3506,1.57%,31.93
2025-02-12,41,2590,1.58%,26.98
2025-02-11,57,2879,1.98%,29.72
2025-02-10,43,2682,1.6%,26.21
2025-02-09,47,2632,1.79%,28.26
2025-02-08,55,2612,2.11%,29.15
2025-02-07,52,2728,1.91%,30.12
2025-02-06,24,2627,0.91%,29.57
2025-02-05,36,2447,1.47%,28.78
2025-02-04,54,3001,1.8%,27.82
2025-02-03,33,2885,1.14%,29.87
2025-02-02,43,2798,1.54%,29.64
2025-02-01,38,2501,1.52%,29.19
2025-01-31,45,3138,1.43%,32.82
2025-01-30,52,2447,2.13%,28.36
2025-01-29,43,3104,1.39%,29.76
2025-01-28,43,3500,1.23%,32.59
2025-01-27,40,2287,1.75%,27.84
2025-01-26,41,2266,1.81%,26.52
2025-01-25,22,2498,0.88%,28.99
2025-01-24,34,2506,1.36%,29.81
2025-01-23,44,2156,2.04%,31.51
2025-01-22,38,1888,2.01%,27.5
2025-01-21,30,2103,1.43%,29.41
2025-01-20,51,2410,2.12%,30.02
2025-01-19,31,2392,1.3%,28.92
2025-01-18,22,2167,1.02%,32.15
2025-01-17,45,1863,2.42%,26.73
2025-01-16,34,1504,2.26%,24.33
2025-01-15,30,1780,1.69%,29.81
2025-01-14,47,2164,2.17%,29.79
2025-01-13,52,2390,2.18%,31.62
2025-01-12,33,2153,1.53%,29.74
2025-01-11,24,2060,1.17%,31.49
2025-01-10,36,3201,1.12%,34.59
2025-01-09,38,2353,1.61%,32.54
2025-01-08,37,2095,1.77%,31.99
2025-01-07,28,2241,1.25%,32.54
2025-01-06,38,2699,1.41%,32.43
2025-01-05,32,2113,1.51%,32.46
2025-01-04,36,2393,1.5%,35.55
2025-01-03,35,2149,1.63%,32.21
2025-01-02,33,2203,1.5%,33.52
2025-01-01,20,1919,1.04%,36.45
2024-12-31,19,1985,0.96%,37.26
2024-12-30,28,2482,1.13%,37.89
2024-12-29,25,2455,1.02%,37.01
2024-12-28,25,2128,1.17%,36.48
2024-12-27,24,2661,0.9%,37.75
2024-12-26,21,2307,0.91%,37.31
2024-12-25,6,1901,0.32%,39.6
2024-12-24,12,2164,0.55%,40.6
2024-12-23,29,2434,1.19%,39.17
2024-12-22,22,2380,0.92%,37.01
2024-12-21,19,1823,1.04%,37.17
2024-12-20,18,2033,0.89%,39.48
2024-12-19,24,3259,0.74%,38.99
2024-12-18,23,3495,0.66%,37.7
2024-12-17,29,3122,0.93%,38.23
2024-12-16,20,3059,0.65%,38.67
2024-12-15,19,2709,0.7%,38.24
2024-12-14,18,2124,0.85%,37.39
2024-12-13,28,2412,1.16%,37.16
2024-12-12,24,2183,1.1%,36.47
2024-12-11,25,2000,1.25%,36.47
2024-12-10,23,2115,1.09%,37.79
2024-12-09,24,2718,0.88%,37.74
2024-12-08,16,3062,0.52%,42.36
2024-12-07,31,2284,1.36%,40
2024-12-06,20,2683,0.75%,40.13
2024-12-05,34,2255,1.51%,36.79
2024-12-04,29,2185,1.33%,37.66
2024-12-03,26,2387,1.09%,36.05
2024-12-02,43,2403,1.79%,33.54
2024-12-01,23,2260,1.02%,36.89
2024-11-30,26,2458,1.06%,35.98
2024-11-29,25,2250,1.11%,37.63
2024-11-28,28,2336,1.2%,33.93
2024-11-27,22,2269,0.97%,33.1
2024-11-26,17,2312,0.74%,34.67
2024-11-25,20,3128,0.64%,34.57
2024-11-24,26,2625,0.99%,35.26
2024-11-23,26,2437,1.07%,36.83
2024-11-22,23,2509,0.92%,37.58
2024-11-21,31,2468,1.26%,33.96
2024-11-20,27,2219,1.22%,34.19
2024-11-19,20,2419,0.83%,34.13
2024-11-18,31,2525,1.23%,35.2
2024-11-17,29,2416,1.2%,35.54
2024-11-16,24,2254,1.06%,37.45
2024-11-15,23,2233,1.03%,36.92
2024-11-14,29,2232,1.3%,36.45
2024-11-13,29,2429,1.19%,35.21
2024-11-12,41,2719,1.51%,36.7
2024-11-11,49,2847,1.72%,36.86
2024-11-10,31,2929,1.06%,38.21
2024-11-09,22,2998,0.73%,42.81
2024-11-08,22,3145,0.7%,41.5
2024-11-07,23,2527,0.91%,38.74
2024-11-06,35,2290,1.53%,37.1
2024-11-05,38,2582,1.47%,36.09
2024-11-04,44,2994,1.47%,34.26
2024-11-03,36,2816,1.28%,34.68
2024-11-02,33,2327,1.42%,34.55
2024-11-01,42,2666,1.58%,37.21
2024-10-31,31,2312,1.34%,34.95
2024-10-30,37,2668,1.39%,32.62
2024-10-29,47,2845,1.65%,33.36
2024-10-28,34,2617,1.3%,35.1
2024-10-27,39,2511,1.55%,32.79
2024-10-26,32,2211,1.45%,33.31
2024-10-25,24,2365,1.01%,35.84
2024-10-24,31,2341,1.32%,33.37
2024-10-23,40,2703,1.48%,34.25
2024-10-22,33,2402,1.37%,32.2
2024-10-21,45,3297,1.36%,36.13
2024-10-20,24,2837,0.85%,36.84
2024-10-19,29,2945,0.98%,39.12
2024-10-18,25,2678,0.93%,38.07
2024-10-17,26,2205,1.18%,31.44
2024-10-16,35,1982,1.77%,32.58
2024-10-15,28,2352,1.19%,32.88
2024-10-14,27,2362,1.14%,30.33
2024-10-13,32,2413,1.33%,32.78
2024-10-12,24,2237,1.07%,35.17
2024-10-11,35,3002,1.17%,36.04
2024-10-10,37,2452,1.51%,34.14
2024-10-09,35,2467,1.42%,32.15
2024-10-08,44,2826,1.56%,33.13