Mot clé pour le Réseau de Recherche,Type de correspondance,État du critère,État de la campagne,État du groupe d'annonces,Coût,Coût (Comparaison),Clics,Clics (Comparaison),CTR,CTR (Comparaison)
carport,Expression exacte,Activé,Activé,Activé,"2 225,38 €","0,00 €",951,0,"5,66 %","0,00 %"
carport bois,Expression exacte,Supprimé,Activé,Activé,"1 520,94 €","0,00 €",823,0,"9,63 %","0,00 %"
pergola bois,Expression exacte,Supprimé,Activé,Activé,"1 402,17 €","0,00 €",822,0,"7,61 %","0,00 %"
pergola,Requête large,Activé,Mis en veille,Activé,"1 015,25 €","0,00 €",1 164,0,"6,32 %","0,00 %"
abri voiture,Expression exacte,Supprimé,Activé,Activé,"974,44 €","0,00 €",584,0,"7,41 %","0,00 %"
pergola terrasse,Requête large,Activé,Mis en veille,Activé,"810,56 €","27,82 €",678,12,"6,67 %","3,08 %"
pergola,Expression exacte,Supprimé,Activé,Activé,"739,66 €","0,00 €",337,0,"4,74 %","0,00 %"
pergolas bois,Requête large,Activé,Mis en veille,Activé,"706,33 €","375,49 €",702,233,"8,70 %","6,28 %"
abri bois sur mesure,Requête large,Activé,Mis en veille,Activé,"700,39 €","0,00 €",649,0,"5,84 %","0,00 %"
abri voitures,Expression exacte,Activé,Mis en veille,Activé,"641,97 €","0,00 €",725,0,"9,68 %","0,00 %"
pergola en bois,Requête large,Activé,Mis en veille,Activé,"613,80 €","0,00 €",654,0,"8,40 %","0,00 %"
carport voiture,Expression exacte,Supprimé,Activé,Activé,"578,69 €","0,00 €",332,0,"5,65 %","0,00 %"
carport sur mesure bois,Requête large,Activé,Mis en veille,Activé,"463,54 €","0,00 €",493,0,"8,63 %","0,00 %"
abri de voiture en bois,Requête large,Activé,Mis en veille,Activé,"420,05 €","0,00 €",381,0,"11,57 %","0,00 %"
auvent voiture,Requête large,Activé,Mis en veille,Activé,"397,25 €","0,00 €",469,0,"7,61 %","0,00 %"
pergola,Requête large,Activé,Activé,Activé,"391,00 €","0,00 €",182,0,"4,29 %","0,00 %"
Déco Charpente,Requête large,Activé,Activé,Activé,"377,92 €","0,00 €",203,0,"10,85 %","0,00 %"
abris de bois,Expression exacte,Supprimé,Activé,Activé,"377,52 €","0,00 €",217,0,"7,85 %","0,00 %"
pergola de jardin en bois,Expression exacte,Activé,Mis en veille,Activé,"305,35 €","0,00 €",264,0,"7,57 %","0,00 %"
Déco Charpente,Requête large,Activé,Activé,Activé,"294,08 €","0,00 €",285,0,"11,84 %","0,00 %"
abri de jardin 5 m2 bois,Requête large,Activé,Mis en veille,Activé,"286,00 €","0,00 €",264,0,"5,22 %","0,00 %"
pergola bois sur terrasse,Requête large,Mis en veille,Mis en veille,Activé,"283,53 €","0,00 €",450,0,"9,52 %","0,00 %"
abri voiture bois,Expression exacte,Supprimé,Activé,Activé,"267,65 €","0,00 €",187,0,"10,33 %","0,00 %"
abri bois sur mesure,Requête large,Activé,Mis en veille,Activé,"263,23 €","0,00 €",221,0,"7,26 %","0,00 %"
abri de jardin en bois,Requête large,Mis en veille,Mis en veille,Activé,"260,30 €","0,00 €",327,0,"6,34 %","0,00 %"
carport voiture,Expression exacte,Activé,Mis en veille,Activé,"258,60 €","0,00 €",243,0,"9,91 %","0,00 %"
carport,Requête large,Activé,Activé,Activé,"253,14 €","0,00 €",123,0,"6,89 %","0,00 %"
carport 2 voitures,Expression exacte,Activé,Activé,Activé,"250,11 €","0,00 €",166,0,"5,94 %","0,00 %"
pergola de terrasse,Expression exacte,Activé,Mis en veille,Activé,"243,90 €","477,43 €",351,245,"7,48 %","2,98 %"
abri à bois,Requête large,Activé,Mis en veille,Activé,"243,21 €","0,00 €",249,0,"5,57 %","0,00 %"
auvent,Expression exacte,Supprimé,Activé,Activé,"238,34 €","0,00 €",180,0,"6,08 %","0,00 %"
carport maison,Requête large,Activé,Mis en veille,Activé,"235,43 €","0,00 €",158,0,"10,31 %","0,00 %"
spécialiste charpente,Expression exacte,Activé,Mis en veille,Activé,"221,81 €","134,65 €",129,53,"4,52 %","4,55 %"
pergola bois autoportée,Requête large,Activé,Mis en veille,Activé,"218,40 €","0,00 €",194,0,"8,35 %","0,00 %"
carport sur mesure,Expression exacte,Supprimé,Activé,Activé,"213,84 €","0,00 €",65,0,"20,00 %","0,00 %"
pool house,Requête large,Activé,Activé,Activé,"211,24 €","0,00 €",173,0,"6,00 %","0,00 %"
Charpente Bois,Expression exacte,Activé,Mis en veille,Activé,"202,59 €","93,95 €",157,56,"4,68 %","3,47 %"
garage en bois sur mesure,Requête large,Activé,Mis en veille,Activé,"198,08 €","0,00 €",176,0,"6,92 %","0,00 %"
pergola bois,Requête large,Activé,Activé,Activé,"191,19 €","0,00 €",106,0,"7,16 %","0,00 %"
carport 2 poteaux,Requête large,Activé,Mis en veille,Activé,"190,60 €","0,00 €",182,0,"8,45 %","0,00 %"
deco charpente,Requête large,Activé,Activé,Activé,"189,82 €","0,00 €",408,0,"22,84 %","0,00 %"
carport bois,Requête large,Activé,Mis en veille,Activé,"186,13 €","18,94 €",132,12,"10,94 %","7,36 %"
car park voiture,Requête large,Mis en veille,Mis en veille,Activé,"183,10 €","0,00 €",252,0,"9,88 %","0,00 %"
pergola bois,Expression exacte,Activé,Mis en veille,Activé,"177,06 €","817,14 €",160,506,"6,51 %","7,47 %"
abri jardin en bois,Requête large,Mis en veille,Mis en veille,Activé,"173,73 €","0,00 €",109,0,"6,80 %","0,00 %"
abri de jardin sur mesure,Requête large,Activé,Mis en veille,Activé,"171,33 €","0,00 €",190,0,"5,52 %","0,00 %"
abri de bois,Requête large,Mis en veille,Activé,Activé,"170,62 €","0,00 €",98,0,"7,99 %","0,00 %"
pergola extérieur,Requête large,Activé,Mis en veille,Activé,"169,17 €","0,00 €",171,0,"6,88 %","0,00 %"
pergola bois,Expression exacte,Activé,Mis en veille,Activé,"161,18 €","0,00 €",143,0,"6,67 %","0,00 %"
carport avec toit,Requête large,Activé,Mis en veille,Activé,"143,42 €","0,00 €",230,0,"11,26 %","0,00 %"
