Début des rapports,Fin des rapports,Nom de la campagne,Diffusion des campagnes,Budget des ensembles de publicités,Type de budget de l’ensemble de publicités,Paramètre d’attribution,Résultats,Indicateur de résultats,Couverture,Impressions,Coût par résultat,Montant dépensé (EUR),Fin,Répétition,Clics uniques sur un lien,Vues de la page de destination du site Web,Clics sur un lien,Coût par vue de page de destination (EUR)
2025-01-01,2025-10-08,Pub C10 BtoC - Générale carrousel,inactive,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,123,actions:onsite_conversion.lead_grouped,78290,234137,8.40666667,1034.02,Ongoing,2.990637,2068,107,2795,9.663738
2025-01-01,2025-10-08,Pub C9 BtoC - Générale carrousel - Janvier 2025 Campagne,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,6,actions:onsite_conversion.lead_grouped,11680,25579,16.66166667,99.97,2025-01-31,2.189983,148,5,162,19.994
2025-01-01,2025-10-08,PUB LUC - 7/02/25,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,14,actions:onsite_conversion.lead_grouped,21361,32822,10.69,149.66,2025-02-09,1.536539,277,9,305,16.628889
2025-01-01,2025-10-08,NEW Pub C1,inactive,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,6,actions:onsite_conversion.lead_grouped,5349,8938,6.37166667,38.23,2025-03-26,1.670967,134,2,149,19.115
2025-01-01,2025-10-08,Trafic site Avril 2025,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,612,actions:link_click,31283,48383,0.13071895,80,2025-04-24,1.546623,549,279,612,0.286738
2025-01-01,2025-10-08,(test) Pub C7 : Mai 2025,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,132,actions:landing_page_view,5456,8665,0.2625,34.65,2025-05-16,1.58816,139,132,180,0.2625
2025-01-01,2025-10-08,Nouvelle campagne de Prospects,inactive,25,Quotidien,clic à 7 jours et vue à 1 jour,1,actions:onsite_conversion.lead_grouped,915,1029,6.72,6.72,2025-05-12,1.12459,14,1,14,6.72
2025-01-01,2025-10-08,Pub prospect abri voiture,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,655,actions:link_click,33626,39627,0.10687023,70,2025-05-12,1.178463,604,460,655,0.152174
2025-01-01,2025-10-08,Pub Déco Charpente Mai Boost Devis,completed,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,948,actions:link_click,24218,36102,0.08434599,79.96,2025-05-31,1.490709,808,638,948,0.125329
2025-01-01,2025-10-08,Campagne C6 Juillet 2025,inactive,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,46,actions:onsite_conversion.lead_grouped,45679,131903,13.8676087,637.91,Ongoing,2.887607,729,26,844,24.535
2025-01-01,2025-10-08,Campagne produit C6,inactive,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,1669,actions:link_click,50579,114102,0.09713002,162.11,Ongoing,2.255916,1491,753,1669,0.215286
2025-01-01,2025-10-08,Campagne C10 Juillet 2025,active,Utilisation du budget de l’ensemble de publicités,0,clic à 7 jours et vue à 1 jour,74,actions:onsite_conversion.lead_grouped,71458,181958,9.98635135,738.99,Ongoing,2.546363,1041,49,1200,15.081429